date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:46:15	20980/20980	---MCZ	200	added ('OK')	text/plain	etag:W/%225a1ee211-51f4%22	http://project-redspace.com/fonts/geometria-regular-webfont.woff2	C:/My%20Web%20Sites/redspace/project-redspace.com/fonts/geometria-regular-webfont.woff2	(from http://project-redspace.com/css/main.css)
11:46:16	26956/26956	---MCZ	200	added ('OK')	text/plain	etag:W/%225a1ee20f-694c%22	http://project-redspace.com/fonts/geometria-bold-webfont.woff	C:/My%20Web%20Sites/redspace/project-redspace.com/fonts/geometria-bold-webfont.woff	(from http://project-redspace.com/css/main.css)
11:46:16	20964/20964	---MCZ	200	added ('OK')	text/plain	etag:W/%225a1ee20f-51e4%22	http://project-redspace.com/fonts/geometria-bold-webfont.woff2	C:/My%20Web%20Sites/redspace/project-redspace.com/fonts/geometria-bold-webfont.woff2	(from http://project-redspace.com/css/main.css)
11:46:17	26304/26304	---MCZ	200	added ('OK')	text/plain	etag:W/%225a1ee20f-66c0%22	http://project-redspace.com/fonts/geometria-extablack-webfont.woff	C:/My%20Web%20Sites/redspace/project-redspace.com/fonts/geometria-extablack-webfont.woff	(from http://project-redspace.com/css/main.css)
11:46:19	20324/20324	---MCZ	200	added ('OK')	text/plain	etag:W/%225a1ee20f-4f64%22	http://project-redspace.com/fonts/geometria-extablack-webfont.woff2	C:/My%20Web%20Sites/redspace/project-redspace.com/fonts/geometria-extablack-webfont.woff2	(from http://project-redspace.com/css/main.css)
12:27:28	15903775/15903775	UR-M--	200	added ('Partial%20Content')	video/webm	etag:%225a1ee282-f2ac1f%22	http://project-redspace.com/videos/video-looping-home-bg.webm	C:/My%20Web%20Sites/redspace/project-redspace.com/videos/video-looping-home-bg.webm	(from http://project-redspace.com/)
12:27:33	1512/1512	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225a2324d0-5e8%22	http://project-redspace.com/images/shape-home-01-front.svg	C:/My%20Web%20Sites/redspace/project-redspace.com/images/shape-home-01-front.svg	(from http://project-redspace.com/)
12:27:34	1616/1616	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225a2324d0-650%22	http://project-redspace.com/images/shape-home-01-back.svg	C:/My%20Web%20Sites/redspace/project-redspace.com/images/shape-home-01-back.svg	(from http://project-redspace.com/)
12:30:37	2844593/2844593	UR-M--	200	added ('Partial%20Content')	video/mp4	etag:%225a1ee246-2b67b1%22	http://project-redspace.com/videos/video-9010.mp4	C:/My%20Web%20Sites/redspace/project-redspace.com/videos/video-9010.mp4	(from http://project-redspace.com/)
12:33:10	2671228/2671228	UR-M--	200	added ('Partial%20Content')	video/webm	etag:%225a1ee241-28c27c%22	http://project-redspace.com/videos/video-9010.webm	C:/My%20Web%20Sites/redspace/project-redspace.com/videos/video-9010.webm	(from http://project-redspace.com/)
12:35:10	243076/243076	---M--	200	added ('OK')	image/jpeg	etag:%225a2324e1-3b584%22	http://project-redspace.com/images/video-designprocess-poster.jpg	C:/My%20Web%20Sites/redspace/project-redspace.com/images/video-designprocess-poster.jpg	(from http://project-redspace.com/)
12:35:47	2722824/2722824	UR-M--	200	added ('Partial%20Content')	video/mp4	etag:%225a1ee4cd-298c08%22	http://project-redspace.com/videos/video-socialmedia.mp4	C:/My%20Web%20Sites/redspace/project-redspace.com/videos/video-socialmedia.mp4	(from http://project-redspace.com/)
12:36:13	2678073/2678073	UR-M--	200	added ('Partial%20Content')	video/webm	etag:%225a1ee4d7-28dd39%22	http://project-redspace.com/videos/video-socialmedia.webm	C:/My%20Web%20Sites/redspace/project-redspace.com/videos/video-socialmedia.webm	(from http://project-redspace.com/)
12:36:15	32615/32615	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225a2324c0-7f67%22	http://project-redspace.com/images/logo-chtcmotors.svg	C:/My%20Web%20Sites/redspace/project-redspace.com/images/logo-chtcmotors.svg	(from http://project-redspace.com/)
12:36:46	233951/233951	---M--	200	added ('OK')	image/jpeg	etag:%225a2324c7-391df%22	http://project-redspace.com/images/photo-subdesign-chtcmotors.jpg	C:/My%20Web%20Sites/redspace/project-redspace.com/images/photo-subdesign-chtcmotors.jpg	(from http://project-redspace.com/)
12:36:48	7425/7425	---M--	200	added ('OK')	image/png	etag:%225a2324c0-1d01%22	http://project-redspace.com/images/logo-chrisbangleassoc.png	C:/My%20Web%20Sites/redspace/project-redspace.com/images/logo-chrisbangleassoc.png	(from http://project-redspace.com/)
